,date,cof_cost,bn_cost,pk_cost,cof_vol,bn_vol,pk_vol
86,2022- 05- 27,229.7,1732.25,110.4,8480.0,93350.0,6560.0
87,2022- 05- 26,226.8,1726.5,111.1,9540.0,144070.0,8300.0
88,2022- 05- 25,217.3,1681.0,109.05,12070.0,,8250.0
89,2022- 05- 24,213.95,1693.0,109.03,8039.999999999999,,9060.0
90,2022- 05- 23,215.95,1687.0,110.38,6630.0,,8880.0
91,2022- 05- 20,216.0,1705.25,108.88,7190.0,,12400.0
92,2022- 05- 19,218.8,1690.5,105.3,8650.0,102890.0,6220.0
93,2022- 05- 18,217.6,1662.75,106.1,18110.0,,11260.0
94,2022- 05- 17,227.2,1678.0,105.15,18760.0,,14700.0
95,2022- 05- 16,224.8,1656.5,103.83,22290.0,,15710.0
96,2022- 05- 13,213.9,1646.5,100.0,19970.0,,560.0
97,2022- 05- 12,215.3,1613.75,100.1,18990.0,,290.0
98,2022- 05- 11,219.9,1606.75,100.92,29970.0,,240.0
99,2022- 05- 10,203.8,1592.25,101.08,16180.0,,300.0
100,2022- 05- 09,206.1,1585.25,100.88,23740.0,96280.0,580.0
101,2022- 05- 06,210.45,1622.0,102.2,25900.0,74870.0,500.0
102,2022- 05- 05,217.25,1647.0,102.8,14910.0,81210.0,170.0
103,2022- 05- 04,220.8,1646.12,102.6,14530.0,,420.0
104,2022- 05- 03,217.95,1630.5,99.78,14440.0,,560.0
105,2022- 05- 02,215.9,1645.25,99.88,14640.0,98830.0,580.0
106,2022- 04- 29,222.1,1685.38,100.9,14480.0,,1040.0
107,2022- 04- 28,217.6,1684.75,103.97,14570.0,,290.0
108,2022- 04- 27,215.55,1692.75,104.17,16140.0,119530.0,390.0
109,2022- 04- 26,221.15,1672.38,105.2,12530.0,,530.0
110,2022- 04- 25,220.7,1675.25,107.8,12970.0,,500.0
111,2022- 04- 22,227.15,1716.0,111.85,13250.0,,710.0
112,2022- 04- 21,228.1,1748.25,110.85,19220.0,,280.0
113,2022- 04- 20,219.45,1746.75,112.47,20820.0,,400.0
114,2022- 04- 19,221.7,1716.5,114.7,22400.0,,570.0
115,2022- 04- 18,223.75,1714.75,116.53,15140.0,,240.0
116,2022- 04- 14,223.75,1682.25,99.88,27090.0,78740.0,940.0
117,2022- 04- 13,225.15,1676.0,99.9,40280.0,,2340.0
118,2022- 04- 12,233.55,1670.25,99.62,26570.0,,2009.9999999999998
119,2022- 04- 11,236.55,1655.25,98.42,31080.0,,2090.0
120,2022- 04- 08,231.55,1689.0,99.03,26770.0,,2100.0
121,2022- 04- 07,226.15,1645.5,99.05,24960.0,,3920.0
122,2022- 04- 06,227.6,1618.75,98.75,24040.0,,4370.0
123,2022- 04- 05,231.25,1631.0,97.67,16970.0,,5780.0
124,2022- 04- 04,230.6,1602.25,99.45,13370.0,,7090.0
125,2022- 04- 01,228.45,1582.75,101.3,8840.0,,4740.0
126,2022- 03- 31,226.45,1618.25,101.75,9990.0,,7000.0
127,2022- 03- 30,221.9,1664.0,104.53,9810.0,,6870.0
128,2022- 03- 29,215.8,1643.0,106.05,7260.0,,6100.0
129,2022- 03- 28,214.7,1664.25,107.58,15740.0,,6480.0
130,2022- 03- 25,221.8,1710.25,107.47,5670.0,,13360.0
131,2022- 03- 24,221.7,1700.75,102.78,6790.0,,6140.0
132,2022- 03- 23,225.1,1718.75,102.55,7300.0,,9520.0
133,2022- 03- 22,224.85,1696.5,100.25,7770.0,,6450.0
134,2022- 03- 21,224.65,1691.0,100.62,13990.0,,10180.0
135,2022- 03- 18,220.05,1668.0,99.4,14280.0,,12480.0
136,2022- 03- 17,216.1,1668.5,100.35,15570.0,,13590.0
137,2022- 03- 16,217.5,1649.25,102.38,19740.0,,14740.0
138,2022- 03- 15,211.15,1658.75,102.4,23720.0,,10090.0
139,2022- 03- 14,218.8,1687.25,102.2,17810.0,,16070.0
140,2022- 03- 11,221.95,1690.75,102.72,14460.0,,24820.0
141,2022- 03- 10,224.2,1700.0,100.1,23050.0,,27940.0
142,2022- 03- 09,229.3,1686.5,101.15,18940.0,,27510.0
143,2022- 03- 08,232.9,1704.5,102.92,23560.0,,27010.0
144,2022- 03- 07,224.25,1674.25,100.28,21090.0,,34030.0
145,2022- 03- 04,224.25,1676.25,100.45,22250.0,,31920.0
146,2022- 03- 03,222.9,1680.25,105.2,28230.0,,20330.0
147,2022- 03- 02,229.2,1677.5,106.3,24430.0,,19880.0
148,2022- 03- 01,236.0,1705.5,106.2,17860.0,,19510.0
149,2022- 02- 28,232.9,1644.25,103.5,19170.0,,18930.0
150,2022- 02- 25,238.65,1590.25,103.67,17190.0,,20690.0
151,2022- 02- 24,237.9,1661.5,105.53,22530.0,,23890.0
152,2022- 02- 23,247.55,1675.0,108.03,15050.0,,27720.0
153,2022- 02- 22,247.25,1635.0,112.08,14280.0,,19560.0
154,2022- 02- 18,246.0,1601.5,109.4,18320.0,107150.0,17620.0
155,2022- 02- 17,250.65,1592.0,107.58,11450.0,,16550.0
156,2022- 02- 16,252.7,1587.5,105.4,25320.0,,15990.0
157,2022- 02- 15,251.75,1551.25,104.15,24730.0,,16860.0
158,2022- 02- 14,247.9,1570.0,91.62,27580.0,,1790.0
159,2022- 02- 11,252.05,1583.0,90.5,32860.0,,2520.0
160,2022- 02- 10,255.25,1574.25,90.17,33170.0,,3080.0
161,2022- 02- 09,258.45,1594.75,90.22,49600.0,,3750.0
162,2022- 02- 08,249.4,1569.0,90.33,44740.0,176070.0,7240.0
163,2022- 02- 07,242.3,1581.75,87.7,18490.0,,7730.0
164,2022- 02- 04,242.45,1553.5,87.03,19460.0,,6920.0
165,2022- 02- 03,244.5,1544.25,86.45,19060.0,,7560.0
166,2022- 02- 02,239.5,1545.25,87.35,14330.0,,8600.0
167,2022- 02- 01,237.3,1528.5,88.15,22040.0,,8210.0
168,2022- 01- 31,235.5,1490.5,88.47,15490.0,,4640.0
169,2022- 01- 28,236.45,1470.0,87.92,10840.0,,7410.0
170,2022- 01- 27,232.65,1448.25,87.03,21130.0,,6600.0
171,2022- 01- 26,239.25,1440.0,88.03,6750.0,,6050.0
