,date,cu_cost,oil_cost,gas_cost,wheat_cost,al_cost,cu_vol,wheat_vol,gas_vol,oil_vol,al_vol,kospi_cost,kospi_vol,kospi200_cost,kospi200_vol,kosdaq_cost,kosdaq_vol,kosdaq100_cost,kosdaq100_vol,cof_cost,bn_cost,pk_cost,cof_vol,bn_vol,pk_vol
26,2022- 08- 26,3.697,91.55,9.296,784.75,2493.5,520.0,28060.0,33980.0,96510.0,51010.0,2481.03,520090000.00000006,323.91,188820000.0,802.45,718360000.0,1596.89,45500000.0,238.1,1461.25,90.65,15720.0,,16900.0
27,2022- 08- 25,3.6985,91.58,9.375,769.75,2433.5,490.0,18250.0,25830.0,99370.0,29560.0,2477.26,426230000.0,323.63,130660000.0,807.37,630310000.0,1620.08,34740000.0,239.5,1431.25,91.1,21920.0,,15930.0
28,2022- 08- 24,3.648,93.65,9.3,795.0,2430.0,410.0,23600.0,72190.0,112500.0,33070.0,2447.45,423500000.0,319.86,156500000.0,793.14,714900000.0,1582.02,27400000.0,239.0,1457.0,90.38,31210.0,,24180.0
29,2022- 08- 23,3.696,92.53,9.155,782.75,2424.0,440.0,26880.0,86530.0,104560.0,43330.0,2435.34,471170000.0,318.69,118040000.0,783.42,855720000.0,1562.11,27030000.0,228.25,1460.12,92.9,17010.0,,23160.0
30,2022- 08- 22,3.653,89.45,9.647,770.5,2390.5,280.0,22520.0,60480.0,111180.0,30330.0,2462.5,422550000.0,322.77,93520000.0,795.87,811880000.0,1594.89,25960000.0,221.2,1435.25,93.97,27820.0,,17310.0
31,2022- 08- 19,3.6685,89.61,9.336,753.25,2386.0,100.0,18900.0,69810.0,75780.0,35650.0,2492.69,459830000.0,326.79,125260000.0,814.17,887450000.0,1628.95,33870000.0,213.35,1404.0,93.12,18230.0,,21780.0
32,2022- 08- 18,3.6335,89.08,9.188,731.5,2403.0,150.0,38270.0,112100.0,90920.0,37750.0,2508.05,381630000.0,328.8,101500000.0,826.06,950530000.0,1663.24,36970000.0,211.85,1405.25,93.3,17180.0,,25410.0
33,2022- 08- 17,3.587,86.84,9.244,763.25,2411.0,230.0,29950.0,88680.0,68040.0,33890.0,2516.47,418050000.0,329.91,105790000.0,827.42,1130000000.0,1672.71,50310000.0,214.4,1390.0,98.05,17840.0,71050.0,21990.0
34,2022- 08- 16,3.6265,85.48,9.329,786.0,2392.0,360.0,25480.0,104090.0,105790.0,77430.0,2533.52,398340000.0,331.78,131430000.0,834.74,887230000.0,1685.39,44710000.0,216.3,1381.38,96.58,18940.0,,26120.0
35,2022- 08- 15,3.6215,87.9,8.728,800.75,2390.0,160.0,29780.0,80220.0,79450.0,46760.0,,,,,,,,,221.55,1412.25,100.58,18110.0,,15990.0
36,2022- 08- 12,3.6735,90.16,8.768,806.0,2434.5,170.0,40650.0,68130.0,77230.0,38040.0,2527.94,445550000.0,330.67,138070000.0,831.63,792430000.0,1677.31,37790000.0,222.4,1454.25,121.72,14750.0,,2000.0
37,2022- 08- 11,3.7115,91.79,8.874,810.75,2520.5,140.0,63670.0,141750.0,119110.0,33310.0,2523.78,505240000.0,329.92,140040000.0,832.15,897830000.0,1692.77,49970000.0,219.55,1448.5,122.4,23350.0,83430.0,2750.0
38,2022- 08- 10,3.6555,89.68,8.202,799.75,2489.5,180.0,68230.0,111810.0,106000.0,38510.0,2480.88,479470000.0,324.35,134970000.0,820.27,897220000.0,1666.64,44740000.0,215.65,1427.75,122.25,20210.0,100440.0,3150.0
39,2022- 08- 09,3.5925,88.08,7.833,781.5,2490.5,80.0,59020.0,88510.0,99780.0,37710.0,2503.46,454360000.0,328.11,121620000.0,833.65,976690000.0,1704.84,46600000.0,209.0,1428.75,122.2,19230.0,90770.0,4370.0
40,2022- 08- 08,3.593,88.36,7.589,779.75,2445.5,120.0,64410.0,117790.0,73940.0,22400.0,2493.1,418230000.0,327.23,113670000.0,830.86,931450000.0,1688.97,40260000.0,208.55,1400.0,121.8,21590.0,73160.0,4080.0
41,2022- 08- 05,3.559,86.39,8.064,775.75,2416.0,140.0,51600.0,111700.0,83410.0,35260.0,2490.8,409780000.0,327.5,119890000.0,831.64,931760000.0,1693.21,51310000.0,206.4,1408.75,120.83,33100.0,98780.0,4270.0
42,2022- 08- 04,3.488,85.99,8.122,782.5,2403.0,200.0,46770.0,102540.0,83660.0,37720.0,2473.11,399960000.0,325.47,110170000.0,825.16,908490000.0,1677.36,72210000.0,215.75,1417.75,120.65,18140.0,105460.0,8180.0
43,2022- 08- 03,3.472,88.32,8.266,763.75,2378.0,110.0,51390.0,134210.0,111620.0,34520.0,2461.45,475300000.0,323.8,93900000.0,815.36,997270000.0,1644.25,41340000.0,211.25,1369.75,121.0,12170.0,95640.0,6600.0
44,2022- 08- 02,3.5225,91.33,7.706,774.75,2414.5,60.0,47230.0,106080.0,86320.0,47650.0,2439.62,549920000.0,321.64,113130000.0,804.34,905940000.0,1611.51,34700000.0,206.7,1386.5,119.85,12110.0,109060.0,5610.0
45,2022- 08- 01,3.547,90.29,8.283,800.25,2430.5,50.0,41080.0,104020.0,122110.0,34760.0,2452.25,487160000.0,322.97,111150000.0,807.61,823060000.0,1619.9,40670000.0,210.0,1406.0,120.45,14710.0,125020.0,4940.0
46,2022- 07- 29,3.575,93.87,8.229,807.75,2488.5,280.0,47270.0,77770.0,98750.0,50790.0,2451.5,499370000.0,323.31,163690000.0,803.62,784400000.0,1610.49,36930000.0,213.8,1468.5,120.65,13330.0,121320.0,6940.0
47,2022- 07- 28,3.481,91.91,8.134,817.0,2456.0,260.0,37420.0,89240.0,82500.0,39160.0,2435.27,491070000.0,321.62,131100000.0,798.32,737060000.0,1600.88,34700000.0,214.6,1440.5,119.12,8980.0,100200.0,7350.0
48,2022- 07- 27,3.43,92.34,8.554,790.25,2427.0,57760.0,41490.0,105220.0,82290.0,,2415.53,333590000.0,319.74,88690000.0,795.7,678540000.0,1592.73,41880000.0,215.35,1410.0,118.6,13110.0,108140.0,7360.0
49,2022- 07- 26,3.3845,89.84,8.825,803.75,2437.0,64280.0,43800.0,146560.0,79300.0,,2412.96,415670000.0,319.61,87530000.0,789.93,841390000.0,1583.19,80500000.0,209.45,1383.75,116.97,9350.0,99870.0,7160.0
50,2022- 07- 25,3.3545,90.89,8.571,770.0,2415.0,55130.0,47490.0,79050.0,80840.0,,2403.69,323090000.0,318.34,94020000.0,789.69,871220000.0,1583.99,58150000.0,206.15,1346.0,117.22,8500.0,86710.0,10870.0
51,2022- 07- 22,3.3495,88.93,8.195,759.0,2469.0,60950.0,66190.0,86580.0,87910.0,,2393.14,381600000.0,317.33,120590000.0,789.75,892760000.0,1579.26,39660000.0,202.65,1315.75,118.7,12290.0,93410.0,12820.0
52,2022- 07- 21,3.2985,89.95,7.815,806.25,2440.0,53920.0,43050.0,84550.0,92200.0,,2409.16,295620000.0,319.68,91220000.0,795.15,937750000.0,1593.42,46580000.0,211.75,1301.5,116.3,6760.0,89380.0,10410.0
53,2022- 07- 20,3.325,92.42,7.899,819.5,2425.0,61780.0,38890.0,75270.0,86070.0,,2386.85,333330000.0,316.02,113810000.0,790.72,939570000.0,1587.94,67019999.99999999,213.95,1332.25,114.88,7900.0,83220.0,13910.0
54,2022- 07- 19,3.291,92.43,7.15,812.25,2386.0,56250.0,45980.0,58010.0,82800.0,,2370.97,339380000.0,313.9,95260000.0,782.33,743420000.0,1567.06,37150000.0,216.5,1358.25,112.83,14040.0,91910.0,12550.0
55,2022- 07- 18,3.346,91.62,7.382,812.75,2435.0,62480.0,42330.0,52890.0,85320.0,,2375.25,324360000.0,314.87,113850000.0,776.72,720020000.0,1556.45,44140000.0,215.2,1380.25,112.12,26260.0,81210.0,16810.0
56,2022- 07- 15,3.234,87.43,6.926,776.75,2344.0,80370.0,44620.0,49320.0,69420.0,,2330.98,319680000.0,307.91,125250000.0,762.39,850290000.0,1539.54,48180000.0,199.8,1342.25,114.9,21170.0,68190.0,830.0
57,2022- 07- 14,3.2115,86.17,6.511,794.25,2328.0,71200.0,40.0,69080.0,97390.0,,2322.32,349140000.0,305.35,115970000.0,766.08,823120000.0,1553.26,58190000.0,195.3,1359.75,114.92,31310.0,11080.0,1670.0
58,2022- 07- 13,3.3225,87.54,6.589,798.25,2363.0,87210.0,30.0,67360.0,72130.0,,2328.61,308810000.0,306.59,110890000.0,763.18,896500000.0,1550.21,63600000.0,207.35,1370.25,114.5,19730.0,9290.0,2370.0
59,2022- 07- 12,3.288,86.65,6.021,801.5,2365.0,61620.0,70.0,73230.0,92790.0,,2317.76,379310000.0,305.03,107070000.0,750.78,766360000.0,1505.98,47770000.0,205.35,1362.5,113.6,26080.0,9410.0,2220.0
60,2022- 07- 11,3.4305,93.41,6.319,843.75,2380.0,60900.0,100.0,70940.0,58800.0,,2340.27,377110000.0,308.29,94920000.0,767.04,779200000.0,1538.99,49630000.0,213.25,1423.5,113.15,17930.0,6150.0,3070.0
61,2022- 07- 08,3.522,93.28,6.034,891.5,2436.5,58220.0,,,61590.0,,2350.61,411420000.0,310.15,108520000.0,766.48,850960000.0,1543.49,36830000.0,220.45,1513.25,112.85,19090.0,,2960.0
62,2022- 07- 07,3.572,90.9,6.297,836.5,2442.5,90160.0,,127670.0,87810.0,52600.0,2334.27,340170000.0,308.31,126310000.0,757.97,809540000.0,1526.97,30100000.0,218.9,1485.25,113.25,15350.0,,4850.0
63,2022- 07- 06,3.408,87.14,5.51,804.5,2409.5,82340.0,,73510.0,122170.0,45930.0,2292.01,410730000.0,302.28,156260000.0,744.63,742270000.0,1500.67,36490000.0,219.2,1446.5,113.15,15300.0,,7680.0
64,2022- 07- 05,3.415,88.46,5.523,807.0,2392.0,107350.0,,110170.0,161590.0,50630.0,2341.78,323900000.0,309.03,110060000.0,750.95,936690000.0,1519.67,37910000.0,221.05,1439.25,112.15,15310.0,,4810.0
65,2022- 07- 04,3.584,110.4,5.853,,2464.0,,,,,,2300.34,467960000.0,304.01,128360000.0,722.73,867470000.0,1453.28,34230000.0,,,,,,
66,2022- 07- 03,3.6115,108.19,5.709,,,,,,,,,,,,,,,,,,,,,
67,2022- 07- 01,3.604,97.3,5.73,846.0,2444.0,68280.0,54110.0,106970.0,70520.0,73290.0,2305.42,530340000.00000006,304.02,136340000.0,729.48,798820000.0,1458.29,43850000.0,224.65,1509.75,109.6,19590.0,31170.0,4450.0
68,2022- 06- 30,3.71,95.56,5.424,884.0,2445.5,55880.0,,182580.0,83890.0,52720.0,2332.64,515400000.0,307.2,143730000.0,745.44,910030000.0,1491.64,36450000.0,230.1,1560.5,109.12,14050.0,,6010.0
69,2022- 06- 29,3.7805,99.28,6.498,930.0,2471.0,49660.0,,82210.0,63030.0,42730.0,2377.99,422130000.0,312.86,132700000.0,762.35,819570000.0,1528.01,34160000.0,228.25,1571.5,109.4,26700.0,,4980.0
70,2022- 06- 28,3.7785,101.18,6.551,936.0,2491.0,960.0,,2460.0,57510.0,43940.0,2422.09,564990000.0,319.11,117270000.0,769.51,978290000.0,1563.2,35330000.0,217.75,1556.5,109.92,16940.0,,5520.0
71,2022- 06- 27,3.764,98.44,6.501,917.5,2495.5,700.0,,33100.0,52150.0,39570.0,2401.92,510590000.0,316.2,136480000.0,770.6,893320000.0,1578.26,39360000.0,222.1,1529.5,110.17,15600.0,,5850.0
72,2022- 06- 24,3.744,96.83,6.22,923.75,2456.0,390.0,,26570.0,74920.0,50250.0,2366.6,654440000.0,312.07,137830000.0,750.3,837120000.0,1548.13,44920000.0,223.25,1610.75,110.92,17510.0,,7340.0
73,2022- 06- 23,3.7425,94.97,6.239,937.25,2477.5,350.0,,78030.0,87250.0,52340.0,2314.32,749660000.0,305.45,197730000.0,714.38,1260000000.0,1461.71,56490000.0,229.0,1593.25,108.55,16820.0,,10070.0
74,2022- 06- 22,3.947,98.15,6.858,976.5,2479.5,690.0,,92470.0,102790.0,44780.0,2342.81,532140000.0,308.08,161700000.0,746.96,1090000000.0,1523.95,48730000.0,236.4,1652.75,111.85,13140.0,,7590.0
